name,weight,value
Banco de clientes,30,10
Sistema de relatórios,20,7
Monitoramento de desempenho,15,6
Histórico de vendas,25,8
Logs do sistema,10,3
Módulo de recomendação,18,9
Chat de suporte,12,4
Banco de testes,8,2
Sistema de pagamentos,22,9
Dashboard de métricas,14,6
IA de previsão de demanda,28,10
Backup semanal,35,5
Controle de estoque,17,7
Gerador de faturas,13,6
Banco de avaliações,19,7
Gestão de usuários,21,8
Sistema de alertas,9,5
Banco de produtos,24,8
Relatórios financeiros,26,9
Log de acessos,11,4
